Rating,Review,Comments
4,Very Good,after 3 time use I rate this product as the best in the market with this price range. I waited to buy Philips product as they are the top selling trimmer brand. but I can't afford it. so I opted Nova brand. and I'm happy with this productREAD MORE
5,Perfect product!,Wowwwww😱😱😱😱 amazing lovely product...... No. 1 product awesome..... 😍😍😍😛😘😘😘 i love it..... It is a very great product.... Flipkart thank you so much because first time i bought to flipkart and product is very good good good good👍😇😇😇 so thank you so muchREAD MORE
4,Good choice,"Its very nice & strong product, it's looking great.. smooth sound, smoothly cutting hair & beard...Delivery very fast & great, I so happy flipkart..READ MORE"
5,Great product,Honest review. Awesome purchase and a very happy customer. Main reason was to cut out hair during this lockdown as Saloons are closed. Great product I cut my son's hair with few minutes. So smooth and easy. Don't think and just go for it.READ MORE
5,Just wow!,NICE PRODUCT IN THIS RANGE. SHARP BLADE. USB CHARGING. GREAT RUN TIME. NICE LOOK. EASY OPARATION. ONLY DISADVANTAGE IS NON REMOVAL BATTERYREAD MORE
5,Mind-blowing purchase,🥰This product is good and excellent mind blowing material are plastic but that system is very good for me e as well as for you🥰READ MORE
4,Very Good,Good product with excellent quality #delivered within 2days #thank u for fastest delivery and customer care services r also good 😊READ MORE
5,Awesome,"Go for it don't hesitate it's superb value for money product in 799.Superb delivery got within 2 days that to at9am , very nice product. It was already charged and on that we have done 3 full hair cuts and still the battery was there. Brought in a lock down and the smell of sanitizer was coming from the box as they have fully sanitized the product . That's why I always trust flipkart and there sellers the product is super fine and every accessories was there .Don't know why people are givi...READ MORE"
5,Best in the market!,The product is too Good nd it runs smoothly ..Running time is more than U expect ;; Really best product !READ MORE
5,Perfect product!,Nice product very good trimmer thanks Flipkart very fast and good cutting hairREAD MORE
4,Worth the money,Safe on skin and easy to use just need a little bit of practice for new users like me.Good build quality of trimmer and Combs given with it.READ MORE
5,Excellent,Awesome machine man really awesome all salon and parlour should buy this very affordable and very good looking .machine from my side 5* .READ MORE
4,Pretty good,"The product itself is good and great for smooth trimming. One first purchase I got one missing item but got it right after replacement. The combs are easy to attach , but a little hard to remove tooREAD MORE"
5,Simply awesome,Very good product....Value for money...using since 7months not even single problem....2yrs of warranty that's a really great thing....battery is good...For this price point it's really it's great product....if anyone want 0 size trim it's not for you.READ MORE
5,Simply awesome,It's so nice trrimer. Battery backup is very good..... 😍. Amazing cleaning face. I really happy to buy this product. Cheapest in the best........ Thanks flipkartREAD MORE
5,Terrific purchase,It's an awesome trimmer I ever got on flipkart within affordable range once i had bought same company trimmer but didn't work properly but now whatever I have purchased I'm totally satisfied let me tell about this wonderful trimmer after using for 2 months No heating issue work very fine for almost 60 minutes I haven't used that much you may try overall you can go for it without any hesitationREAD MORE
4,Good quality product,Really good for the budget. You can do hair cut as well by keep changing the head. Very good precision. I like the design of blade head shape which goes along with skin n so blade won't touch skin at all. Battery backup is good but that's on day 1..will have to see how it's perform for longer period...Only concern is a quality of usb charging cable and charging pin in the trimmer so bad. You will have to use carefully while connecting.READ MORE
4,Worth the money,Best trimmer in this range... a great look... accessories provided are great and in wide range... worth every penny... strongly recommended👍👍READ MORE
5,Must buy!,Really good one. I was using Philips QT earlier.  Since its battery was gone i had to purchase new. I also didn't had much money to spend due to Corona crisis. Salons were also closed due to lockdown. Ended up buying this. I just went by reviews. It is pretty good and cost effective.  Go for it.READ MORE
5,Just wow!,this trimmer so compact very useful and good working product. good performance for battery backup. good working    for shaving.READ MORE
4,Nice product,My review after 3 months from buy date This trimmer is very good Precision is super Price I buy 799 good at this priceREAD MORE
5,Best in the market!,best buy highly efficient motor nice run time and nice design alsoREAD MORE
4,Pretty good,"Very nice worth for price good quality but heavy vibration can't hold for more than 5 minutes , good trimmer can use for 30 mins for single full charging...Nice..Thank you flipkartREAD MORE"
4,Value-for-money,"Nice and easy to use product. Tried it couple of occasions and worked perfectly. Though there was an initial hiccup, first time when i received the product, there was a problem with that (power button not working even after 15 hrs of charge), upon complaining, Flipkart provided me with a replacement within 2 days. Because of this service i am giving one star extra. BTW, i an not using this for beard trimming but using this for hair clipping and it works smoothly.READ MORE"
5,Fabulous!,"the best part is usb charging, it works smoothly, the blades are sharp which makes it easy to trimREAD MORE"
5,Worth every penny,best trimmer it's faster than other trimmer i like itso nice trimmerREAD MORE
5,Terrific purchase,This one I am purchase  for my friend  its good and best for gifting  purchase  delivery  but other all reviews  good and I am giving  for only this product  5***** StarREAD MORE
4,Nice product,Everything is good about this trimmer except the charging indicator. It does shows if ur trimmer is charging or not by indicating red led light but doesn't indicate if ur battery is fully charged. I charged for almost 12 hours but the indicator was still red. I searched on YouTube for support they showed the light will turn blue when fully charged.READ MORE
5,Awesome,Really a nice trimmer at affordable price .During this lockdown it helped me a lot to cut my 4 years old son's hair and it's very easy to trim the hair and it won't hurt babies .READ MORE
4,Nice product,Good product. But comb is not suitable for mustache trimming. Otherwise I will give five star. Excellent battery backup. I recommend this product for hair and skin hair removal purpose.READ MORE
4,Worth the money,"Nice trimmer. sleek and unique design. Good quality. Awesome colour. Heats up a little when charging and a lot when you run the trimmer. Biggest issue, loose charger port. A little movement and it stops charging. Therefore, tight fit USB was a issue but if you can manage that, then its one good trimmer. Hope it lasts long. 2 years warranty. 5hrs min first time charge but sticker says charge 8hrs first time. Never mind, works out either ways because company claims it doesn't overcharge, so no ...READ MORE"
5,Wonderful,Osmmmmmmmmm product...... Gr8 built up qualityGr8 battery backup..... Sleek design.... Easy to hold in hand which make it very precise Talking about it's working...... It's works superbly.... It really does everything which you want from your trimmer........ Hair cut..... Beard trimming..... It do everything so smoothlyOnly one cons is..... Battery charging indicator shows always red 🔴 indication.... But it charges to it's full capacity in 5 hours...... So it's acceptable if charging🔋⚡ ...READ MORE
4,Value-for-money,"Impressed with its battery backup. Also connection with usb power bank is a great plus point to increase run time.Much better than my philips trimmer.Build Quality is good as like philips products.Only issue is unlike philips trimmer it has only 4 setting 3 ,6,9,12 mm where as phillips has 0.5to 10mm settingsREAD MORE"
5,Brilliant,Completely satisfied with the product.Better battery back up when compared to my old trimmer. Compact in size and easy to hold for more duration. Feels like durable materialREAD MORE
5,Just wow!,Awesome trimmer actually it is good in back up compare to all high end models very powerful motor it have overall it is worth it.But you should aware of their sharpness i got some scratches during trimming.READ MORE
5,Super!,First of all genuine buying secondly good performance of product for single hand users. I am very much impressed with this buying and now i am a permanent customer of flipkart.READ MORE
4,Wonderful,"I'm so glad I got a product , Because this trimmer has a nice look,   &   more importantly it's charge lasts a long time .. .In a word I got a good product at a lower price .. .                       Thank Uuuu  Flipkart .. . 😊🙏READ MORE"
5,Brilliant,"Best deal in this price. Good to use. Bettry backup is good. Convenient, still happy after ussage of 2 monthsREAD MORE"
5,Excellent,I am satisfied with the product if very good working thank you so much I appreciate to the seller and the delivery person good job.READ MORE
5,Terrific purchase,"very good but one thing is missing 1mm and 2 mm are not available remaining all things are very good,  and vibrations and sound are very low I m very happyREAD MORE"
5,Wonderful,"the product is awesome using it for more than a month now 4 sizes are comfortable for a proper beard trimming. the looks are attractive, blade  used gives a smooth cut & charge last easily for more than an hour. surely recommended for purchaseREAD MORE"
4,Delightful,"Trimmer is good and ideal for regular skin but dont try this on sensitive skin otherwise you may get some cuts, Blades are sharp enough to trim your hair.... this product is ideal for person with average beard.READ MORE"
4,Good quality product,nice design well packed and super specsREAD MORE
5,Highly recommended,"I really love this product and the best part is its continuing its battery is very long lasting,  however it make some noise and pulls my skin which is very dangerous. Over all working good Battery is Awesome look wise sexy and ok for its main work.READ MORE"
5,Awesome,Amazing looks and efficiency. I loved the charging ability unlike other old trimmers with specific type of charger. This one van be charged by your mobile charger. In fact it gets quickly charged by my portable power bank.Good for the priceREAD MORE
5,Terrific,In my first use I feel happy & satisfaction. It's performance is very good .it's run time is also satisfactory  . my  friends are also  using trimmers of another brands. They are complaining their old products about run time & charging problem. I  advised them to purchase the same one which I am using i.e Nova NHT1073-00.READ MORE
4,Good choice,best for middle class peoplessgood design and comfort workit is perfect in handling. usb charging is the Plus point in this product. there is less length settingsand only having four normal basic combs but its enough for normal trimming purposeREAD MORE
5,Mind-blowing purchase,Very nice product same as shown in picture... Run time is up-to mark Sharp blade Overall amazing product you must buy.... Thanks Nova as well as Flipkart 📧READ MORE
