Rating,Review,Comments
5,Just wow!,Many people say that this phone has battery drain issue ...but i am writing this review after 1week of usage i dont face any battery drainage issue in this...i took daily 4-5 hrs online meeting continuously during this lockdown which took about 40-50% which is normal 2. Its charging speed is very fast it charge by 0 to 90 in less then 60mins....3.camera of this poco x2 is just awesome its 64mp sony camera is too good 4.its performance in pubg and free fire is awesome...in high graphics gam...READ MORE
5,Perfect product!,Good quality good performance nice camera battery backup is good I am so happy thanks Flipkart.READ MORE
5,Worth every penny,"This is the  new Phone I'm using after 4 years. My old Phone was Redmi note 4. Poco X2 was awesome. Meet my expectations. Loved it. Overall  good performance. A little bit disappointed with the night camara performance. Otherwise it's a superb android phone. Display 120 RR really works well.     "" Loved this like my note 4""Note: Guys no words to say about back camera performance. Ooooowsammm!!! Adding photos with out any editsREAD MORE"
5,Worth every penny,Since i want camera phone and this is the best camera phone. 120 hz refreshing rate i dont whether it works or not. But overall phone is very good. I love camera. 6 ram with 128 gb is best because 64 mp camera pic occupied 31 mb per photo and internal memory will get full very fast. Hybrid sim slot is disappointed. Audio quality in bluetooth headset is super. Charging is very faster than you expectations. Good deal for game lover. Very confused between Realme 6 pro vs Poco X2 but finally deci...READ MORE
4,Nice product,"Pros-I can surely say that it is really value for money phone....if u are looking for awesome camera, battery and performance just go for it without any doubt also charger is enough fast.i also used many phone with IPS LCD display but this one i can say one word.....great.Cons- i must say that it is little heavier side and also no led notification light enabled by developers while it has that i hope they will fix it next ota update.READ MORE"
5,Simply awesome,Sony IMX 686 sensor is really flagship level camera sensor. Captured pitch dark night sky with google camera night sight (Astrophotography) mode and got very impressive results which can easily beat a DSLR camera. The stars captured in image were so fade in reality that they were not even visible to naked eyes. Snapdragon 730G SOC is powerful enough to handle the most graphics intensive operations. Played few games capable of achieving 120 fps and they were easily handled by this processor....READ MORE
5,Terrific,"Battery: 6/10Front camera: 6/10Back Camera: 7/10Display: 7/10Charging Speed : 10/10Design & look : 7/10Performance : 9/10Overall: 3.9/5Pros ; Large Display, 27w Charger in the box, Sony IMX686 Sensor, Snapdragon 730G Smooth af, UFS 2.1 Storage, Sounds quality decent, Android 10, Gorilla glass 5 Front & Back, Stylish LookingCons ; Sometime photo look very wired for over sharpening. Front camera not up to the mark, 120hz display battery drains very fast. Overall best value for money...READ MORE"
5,Best in the market!,"Nice Phone, very good camera,good battery backup.and thanks to flipkart.there service is good.no battery problem issues.but when refresh rate are 120 GHz, then battery are slidely drainage.outherwise it's is good for value of money... I realy Love poco X2..you must go for it....READ MORE"
5,Just wow!,Hi all....I am from kerala..kochi..It's undoubtfully camara based smartphoneIf you love to take photos on mobile.. this one for you bro..Camara (9.5/10)Pls don't worry guys.. it's not hugeDisplay is really good (8/10Don't worry about front camera.... it's beautiful design..Battery (8/10)Finger print is working fine on this device... everytime our thumb automatically goes into finger print sensor...good placement 👌Ovaroll i really like this device 😍😍If you don't love the amoled ...READ MORE
5,Best in the market!,Nice mobile by poco value for money deviceCamera awesome but little bit beautify face all over good worth every pennyREAD MORE
