Rating,Review,Comments
4,Good choice,"After Using 6 Day's My Review. Good Smartphone in this price Range. Camera Quality is Good...  Gaming Performance is Awesome...  Display is Big But, Good...  Battery 🔋 Performance is Excellent...Camera 📷  Quality is very clear and Nice Quality.. Charging is Fast (18w fast) 2 Hours 45 Minutes take Time to change fully Mobile Battery 🔋 Best Phone Under 12 Thousand Price Range. I am fully Satisfied with this Phone 📱...  But, it is little bit heavy and Big Screen But, Overall Good Sma...READ MORE"
5,Terrific purchase,"Great product in such a good price.Camera quality is awesome . Also,its battery backup is amazingREAD MORE"
5,Awesome,After using of 10 days my review--It's a best smartphone by realme I wanna rating...out of 10Display- 7Battery- 9Camera- 10Gaming- 9Sounds- 8Here I played pubg for 30 minutes and no lag found.It click good images.It's a best phone provided by realme at a cheap price. It a best middle range smartphone.Thanks You Realme and also thanks to Flipkart for providing it to us..READ MORE
5,Excellent,"Very good budget phone, it's good affordable smartphone in this price range, best in class 5000mah battery with 18w charger, overall fabulous package.READ MORE"
5,Worth every penny,"Very good budget phone, everything seems perfect and the camera is absolutely top notch,it's good affordable smartphone in this price range ...,nice product..READ MORE"
5,Fabulous!,"One of the best Phone in this price range 👌. I brought it for my younger brother it is awesome and looks cool in hand.Gives tough competition to my phone ( Realme XT). Also 128 GB storage makes it like cherry on the cake. Described Rating from my side -: 1. Camera -: 4.5 🔥( 199° wide angle lens +48 Mp...)2. Body design look -: 4.5 ( 6.5"" display HD +)3. Battery -: 5 🔥🔥 ( 5000 mAh)4. Processing speed -: 4.5 ( MediaTek Helio G80-2 GHz processor )5. Sound Quality -: 5 🔥 🔥OVERALL RATI...READ MORE"
5,Worth every penny,"One of the best phone in this price, fully worth buying it.Best in Class.Best in Performance. Best in Camera.Best in Battery.Best in Display.But a slightly slow charging time issue, it takes 2 hrs to full charge.Overall best smartphone from realme in this range.And also its combination of RAM & ROM is best. (4GB/128GB).Fully recommended  phone.Go for it.....!!!!!READ MORE"
5,Great product,The phone is very Good camera and battery backup is excellent ।value of money and thank you realme or filpkart ।। Delivery is very Fast only 24 hours .....short in .I mean say that amazing mobileREAD MORE
4,Good choice,Worth for money..  found some heating issues while playing heavy games like PubG and Pes efootball.Charging take a bit longer I received it earlier than the promised delivery date... I appreciate that... Everyone should give it a try.READ MORE
5,Mind-blowing purchase,Best mobile phone at the price but it have not smart assistant.All of all mobile good at performance and camera quality is very good.READ MORE
3,Decent product,Phone is quite okay for the day to day use. The Helio G80 performs upto it's mark. Not that much with comparative snap processor but still it's doing it's work. The Battery is the main strong part. It could easily last for an average user upto 2 days. Screen on time is never less than 10hrs.The most con part is the software. The Realme UI is filled with bugs and inconsistent. The Ui design and the features are cool but there has to be a lot of stability improvements. The phone almost doesn'...READ MORE
5,Simply awesome,"To be frank it's value for money. smooth af. Excellent fast charging, battery life is excellent.Awesome performance. camera is good. kudos to Flipkart.They delivered product with in 24 hour despite the lockdown and long distance to deliver.READ MORE"
5,Great product,This phone is very nice and camera is good battery prfomace is very good awesome mobile and good satifiled flipcard and jakhas phone  Bahut hi badiya phone haiREAD MORE
5,Excellent,Best mobile in the lock down session superb battery mobile size vertically horizontally awesome.camera nice but HD  display little bit disappointed ..overally frnds in this amount very nice mobile I'm feeling happy to select realme narzo .READ MORE
5,Awesome,Good budget mobile at best price and camera also good charging greatREAD MORE
4,Delightful,"Awesome phone camera is  too awesome and bettery backup good You can buy this phone, it is also very good in appearance and it looks very good, it is very fast but it is slow to open a little app, hope the update will be correct but the phone is very good.READ MORE"
4,Worth the money,Nice product..value for money. But you should know that even though it provide 18W fast charging it takes  a long to charge (to preserve battery as when I googled it) and also in video secondary recording focusing is not so steady..The battery is awesome and nice camera and other realme features❤️READ MORE
3,Good,Very good phone  but switch off switch on  bed      phone              ...... Flipkart fast delivery very nice Flipkart ......... Thank you FlipkartREAD MORE
4,Wonderful,Amazing picture Mind Blowing And Superb Powerful battery Look Also So Amazing 👌👌READ MORE
