Rating,Review,Comments
4,Nice product,"The phone is good enough in terms of price but it would have been better if camera was a little better.Good Design, good battery  performance, and nice speed etc.....  Camera is good according to price.....but need some updates on camera.....  I uploaded 2 night photo and 3 day photos..... Thank you ♥️READ MORE"
5,Wonderful,"Best budget smartphone with Realme clean ui, gifted for my dad, he liked it very much. Just go for it in budget category.READ MORE"
4,Nice product,Very good  performance gift from brothers she is very happy this product thank you Flipkart very fast delivery thank youREAD MORE
5,Excellent,I purchased this phone for my mother... and here are my observations.1- Great product in this price point.2- Insane batter life... Could easily last for more than 2 days with screen on time of more than 10 hours on a single sim.3- There is some issue with the auto brightness sensor.. the display keeps getting din. Hope it can be fixed with a software update.4- Best device for elderly people and Light users. Gets the job done. Calls and network reception is perfect. Vowifi works without an...READ MORE
5,Must buy!,Good mobile camera was nice picture quality is awesome this price range And battery 🔋 was super  display is big watch the is good experience and net is working fast properly overall mobile is goodREAD MORE
5,Wonderful,Best phone in this price range.1) good manageable camera2) awesome battery life3) superb performance at this price4) very smooth software experience5) bright display as compare to old realme phoneI give ⭐⭐⭐⭐ star-1 star for camera.. camera should be more impoREAD MORE
5,Fabulous!,"Battery 🔋 :- 10/10 to good battery ⭐⭐⭐Camera 📷 :-   7/10 front camera 10/10G85 :-  8/10 some time Stop in gaming (call of duty )and I feel normal heat problemDisplay :-  realme narzo 30a is a good display compare to other phones like redmi 9 prime, poco m2 etcOverall : -  8/10 ⭐⭐⭐⭐⭐⭐⭐⭐READ MORE"
5,Best in the market!,"This phone is the best low Budget phone i have ever seen...I dont usually play games though it is a budget gaming phone...camera is avg , storage is less but can be increased ...super smooth performance. I am a student and this phone is very good for me....READ MORE"
5,Perfect product!,A budget phone with G85 chipset is definitely a great bargain. There's no lag in the phone in day to day task. The display although not 1080p is really crisp and bright and good enough for watching movies. For the price it is selling for it's a good bargain.READ MORE
5,Super!,"This works GREAT!!Review after a month __I already have Realme 6i with higher spec  but  when compared to that, this one is better except camera this phone is better one .. This has a great performance and best one under 8kREAD MORE"
3,Fair,Nice but camera profamance note good Battery profamance super Over all good but note fast charge in mobileREAD MORE
5,Perfect product!,Superb camera. Awesome screen. 3gb ram. Good processor. Excellent battery backup. Overall stunning phone in a budget.READ MORE
4,Very poor,"Camera is worst else all perfect ,if u want to manage in camera performance then go for it as it works smooth without any lagg super flawless performanceREAD MORE"
4,Value-for-money,Decent Product. Every thing is perfect as per price point. But speaker sound is slightly disappointing. Little bit slow as compair to other realme phones. Other wise good mobile. Battery backup is nice. Display is also good. Camara quality is decent. AverageREAD MORE
3,"Do not buy !! Money in drain, replacement refused !!","Looking at the reviews I fell prey to this phoneCheap quality china brand phone, worst buying experience1. Pathetic sound quality - , replacement was refused by flipkart/seller initially without any attempt to fix the issueOn escalation & executive visit, was told it is 'expected sound quality'You cannot even listen to youtube videos or listen over calls from the other side very clearly.2. Not really fast charging as claimed, it takes all the time in the world like a normal 5000 mAH phon...READ MORE"
5,Nice product,Good phone for this price Battery is good Camera quality is descent Display is good Over all worth for buyingREAD MORE
4,Fair,"Only i can say is just wow.Its truly amazing I say like it's worth of money good quality,battery stay longtime but camera is very poor, Display is regular. Good in performance, 18w fast charger but huge battery take little bit more time to be charged. Not bad but not very good phone.Very good mobile, Battery was very good, performance is great, Camera is ok ok, Very comfortable in hand, I travel a lot this mobile is comfortable to me. This hd+ screen and 6000mah battery combination is given ...READ MORE"
4,Brilliant,Just wow amazing Its truly amazing I say like it's worth of money good qualityREAD MORE
5,Delightful,"Decent phone according to price. Helio G85 is very good processor considering the price point. Don't expect camera to be great, but yes it does it's work. Battery is awesome also it comes with good charging speed (18 watt). Build quality is nice, yes it is of plastic. Secondary mic for noise cancellation is missing. Display is HD not FHD. For a person who uses multimedia, social media and regular apps can go for it. Overall, considering price, processor, 18W type C charging and battery are it...READ MORE"
4,Very Good,Overall good camera is not good battery backup good . performance goodREAD MORE
5,Simply awesome,Very nice mobile I like it. New features in mobile is very good and important and I really happy for this thank you.READ MORE
5,Wonderful,This phone is not actually that good but ya it's very budget friendly phone you can choose this for those who are new too use smart phoneREAD MORE
4,Must buy!,Awesome product is very well smooth for free fireREAD MORE
5,Super!,Battery stay longtime but camera is very poor. Display is regular. Good in performance. 18w fast charger but huge battery take little bit more time to be charged. Not bad but not very good phone. Would you like the buy a gaming phone in budget you can buy it..READ MORE
5,Almost perfect for the price,"This review is based my usage for a month with single SIM (airtel) & 4GB class 4 mem card.GOOD THINGS1. Display & viewing angles are good even though it is 720 HD, not very much noticeable with other full HD displays. Better than likes of Redmi POCO full HD displays.2. Network cellular reception & call quality are perfect. It supports network video calls.3. Performance is very good compared to 4+GB phones of redmi poco under 10k -  finger print reader, opening the apps, connectivity , to...READ MORE"
5,Perfect product!,"This is best phone I have received in this range. The overall experience is really good with respect to display, camera, battery & performance. The phone is very handy. The speaker quality is also good.READ MORE"
4,Fabulous!,"Very good mobile. Battery was very good.performance is great. Camera is ok ok. Very comfortable in hand. I travel a lot this mobile is comfortable to me. This hd+ screen and 6000mah battery combination is given battery life amazing. Am satisfied. Network signals and call quality is very good. This mobile value for money. Am not a hard core gamer, gaming experience is great. Overall good packageREAD MORE"
3,Best in the market!,"Only camera function is not at the best level. Otherwise, awesome mobile in the lowest price. It's the totally budget mobile phone. Your Customers care are also very supportive. Their solutions record are 100%.Thank you, Flipkart and Flipkart service. Good job.READ MORE"
5,Battery Marathon,"Bought this phone for my dad for just 7300(3+32) with SBI Card offer.  This is the best budget device for those who primarily use their phone for social media, multimedia,  calling, etc.  Type C port is just cherry on the top.Screen: Initially, I thought 720p would be noticeable on such a big screen but it's fine. Pixels don't look bad on this screen and brightness is more than enough for this price.Camera: Average camera. Exactly what you would expect at this price. Cant compete with ~12...READ MORE"
3,Good,Poor build quality with flex in frame at charging area and on left lower side. Charger stopped working in 5 daysScreen is good and battery back up is good. Software is better than other Chinese phones with no ads.Camera is acceptable in good outdoor light. Low light performance is average but acceptable for priceREAD MORE
4,Perfect product!,"Awesome phone nice battery backup, smooth performance even when playing games. ok camera ,decent display ,fast performance. super value for money I recommend buyingREAD MORE"
